,Unnamed: 0,id,EVENTMSGTYPE,x,y,z,game_clock,rankc
0,31,0021500001_102,2,5.49636,25.01318,10.887960000000001,314.63,32
1,85,0021500001_105,1,6.48539,25.37288,11.09783,275.53,31
2,132,0021500001_106,2,6.90875,24.57006,10.4731,260.12,43
3,198,0021500001_110,2,7.8752,24.961270000000003,10.72345,233.7,57
4,236,0021500001_114,1,5.5211,25.74065,10.76264,171.7,33
5,286,0021500001_125,2,7.21215,27.38645,10.893189999999999,36.4,48
6,340,0021500001_132,2,5.9021300000000005,27.45962,10.53997,659.6,49
7,375,0021500001_139,1,5.90431,24.13925,10.64589,608.93,33
8,419,0021500001_148,1,6.20943,25.27024,11.2159,479.97,36
9,484,0021500001_155,1,5.41284,25.36113,10.67643,354.81,62
10,519,0021500001_158,1,5.7516099999999994,24.53002,10.811580000000001,313.82,33
11,570,0021500001_159,2,9.68313,23.54429,10.4083,298.88,42
12,621,0021500001_161,2,6.899719999999999,24.7239,10.55208,279.47,48
13,672,0021500001_166,2,4.35142,29.8637,10.54654,231.48,46
14,706,0021500001_168,1,6.291440000000001,25.591079999999998,10.958960000000001,213.48,29
15,741,0021500001_170,1,5.85634,25.381339999999998,10.69357,183.48,32
16,779,0021500001_173,2,7.72093,22.79271,10.40473,144.83,36
17,828,0021500001_181,2,8.41852,28.986690000000003,10.654860000000001,80.05,45
18,861,0021500001_184,1,5.867430000000001,25.28099,10.70763,51.09,30
19,899,0021500001_20,1,5.33102,25.03025,10.52069,562.76,34
20,949,0021500001_202,2,7.463830000000001,26.9067,10.6762,553.56,43
21,985,0021500001_205,2,6.44664,24.9017,10.99275,503.74,27
22,1038,0021500001_218,2,4.60431,23.89647,10.53496,359.3,38
23,1076,0021500001_229,1,5.844130000000001,25.188229999999997,10.523710000000001,268.2,31
24,1121,0021500001_235,2,5.26762,22.726860000000002,10.40064,225.11,43
25,1157,0021500001_247,2,5.414680000000001,23.0002,10.57572,108.04,33
26,1187,0021500001_256,1,6.27844,25.1962,10.79273,29.81,28
27,1236,0021500001_259,2,15.289929999999998,23.5117,10.62753,15.01,46
28,1289,0021500001_261,2,8.44946,26.05496,10.49672,5.05,48
29,1327,0021500001_35,1,6.09598,25.05396,10.842089999999999,409.37,33
30,1365,0021500001_41,1,5.26728,25.97946,10.8702,358.07,36
31,1400,0021500001_56,2,6.927160000000001,27.07538,10.560939999999999,168.94,29
32,1433,0021500001_77,1,5.93159,24.541539999999998,10.937000000000001,631.99,31
33,1471,0021500001_83,2,7.34811,25.59785,10.48657,562.95,32
34,1525,0021500001_90,2,4.8422,23.95414,10.75072,470.18,50
35,1562,0021500001_94,1,6.04838,25.89576,10.72425,427.12,32
36,1616,0021500001_98,2,7.12626,22.587989999999998,10.58111,381.17,48
37,1682,0021500002_103,2,14.83456,25.68223,10.84017,274.31,62
38,1737,0021500002_112,2,6.819789999999999,20.18271,10.612210000000001,183.94,43
39,1770,0021500002_115,1,6.35105,25.18916,10.762310000000001,156.38,29
40,1806,0021500002_120,2,5.05956,23.2188,10.49581,116.74,34
41,1843,0021500002_126,1,5.54294,24.669,10.691089999999999,77.59,30
42,1905,0021500002_129,2,6.838030000000001,20.38438,10.51065,35.85,55
43,1937,0021500002_139,1,6.67402,25.0043,10.52084,648.73,29
44,1982,0021500002_147,2,10.34683,26.12211,10.56649,544.89,43
45,2040,0021500002_148,2,9.486410000000001,20.79234,10.42891,536.17,55
46,2078,0021500002_150,1,6.09779,25.526120000000002,11.06841,507.65,31
