,Unnamed: 0,id,EVENTMSGTYPE,x,y,z,game_clock,rankc
0,54,0021500001_102,2,5.16697,21.8583,9.37122,313.68,55
1,89,0021500001_105,1,4.7902,25.232470000000003,9.262319999999999,275.37,35
2,141,0021500001_106,2,9.12544,25.797420000000002,9.7586,259.77,52
3,203,0021500001_110,2,7.0815399999999995,23.9951,9.01205,233.5,62
4,238,0021500001_114,1,4.93547,24.561329999999998,9.38868,171.62,35
5,291,0021500001_125,2,8.28985,27.18849,9.53133,36.2,53
6,342,0021500001_132,2,6.18633,27.805,9.5687,659.52,51
7,383,0021500001_139,1,4.667669999999999,25.33696,9.01515,608.61,41
8,422,0021500001_148,1,4.95988,24.707420000000003,9.24265,479.85,39
9,486,0021500001_155,1,5.41369,25.409029999999998,9.24586,354.73,64
10,528,0021500001_158,1,5.5073099999999995,24.09778,9.01441,313.45,42
11,573,0021500001_159,2,10.87545,23.01679,9.45387,298.75,45
12,626,0021500001_161,2,7.733219999999999,25.36815,9.15488,279.26,53
13,677,0021500001_166,2,3.8761099999999997,30.618129999999997,9.107289999999999,231.27,51
14,709,0021500001_168,1,4.97088,24.49588,9.02923,213.36,32
15,743,0021500001_170,1,5.20707,25.13061,9.51936,183.4,34
16,783,0021500001_173,2,7.812810000000001,22.279139999999998,9.44387,144.67,40
17,831,0021500001_181,2,7.535410000000001,29.48276,9.37273,79.93,48
18,865,0021500001_184,1,5.2862,24.912760000000002,9.03687,50.93,34
19,906,0021500001_20,1,5.84143,26.076079999999997,9.13954,562.47,41
20,958,0021500001_202,2,8.36335,28.476909999999997,9.1835,553.2,52
21,1000,0021500001_205,2,8.17581,23.29826,9.11979,503.14,42
22,1045,0021500001_218,2,6.16602,22.4893,9.64118,359.02,45
23,1078,0021500001_229,1,5.04406,25.31379,9.18702,268.12,33
24,1124,0021500001_235,2,5.63515,22.11893,9.491539999999999,224.98,46
25,1159,0021500001_247,2,4.9915,23.97695,9.03843,107.96,35
26,1190,0021500001_256,1,5.2945400000000005,24.94559,9.04315,29.69,31
27,1241,0021500001_259,2,18.95525,23.12105,8.56865,14.81,51
28,1294,0021500001_261,2,8.14756,26.08274,9.0908,4.85,53
29,1329,0021500001_35,1,5.27688,25.121029999999998,9.51402,409.29,35
30,1371,0021500001_41,1,5.884119999999999,25.11765,9.09344,357.83,42
31,1402,0021500001_56,2,6.17249,25.70008,9.10982,168.86,31
32,1439,0021500001_77,1,5.48689,24.1752,9.33353,631.74,37
33,1475,0021500001_83,2,8.6111,25.371270000000003,9.043660000000001,562.79,36
34,1530,0021500001_90,2,4.97759,23.020210000000002,9.21694,469.97,55
35,1568,0021500001_94,1,4.60431,24.44507,9.14992,426.88,38
36,1620,0021500001_98,2,7.32608,22.54015,9.165569999999999,381.01,52
37,1694,0021500002_103,2,20.58294,25.44182,9.02594,273.02,74
38,1741,0021500002_112,2,7.4634,18.58765,9.193539999999999,183.78,47
39,1772,0021500002_115,1,5.61784,24.91084,9.432210000000001,156.3,31
40,1813,0021500002_120,2,5.31307,21.28574,9.26123,116.47,41
41,1850,0021500002_126,1,5.081869999999999,25.08124,9.051210000000001,77.31,37
42,1908,0021500002_129,2,7.1938699999999995,19.98943,9.00633,35.73,58
43,1939,0021500002_139,1,6.078790000000001,25.323710000000002,9.22225,648.65,31
44,1985,0021500002_147,2,11.48053,26.15321,9.19638,544.77,46
45,2047,0021500002_148,2,11.02609,19.67215,9.27641,535.89,62
46,2081,0021500002_150,1,5.05919,25.01304,9.04309,507.53,34
47,2119,0021500002_153,2,6.480919999999999,24.54547,10.00175,471.84,38
48,2158,0021500002_171,2,8.7381,27.72728,9.170169999999999,308.93,39
49,2207,0021500002_179,2,4.06154,30.46811,9.39139,205.58,49
50,2241,0021500002_184,2,5.27156,25.03762,9.36042,169.79,34
51,2288,0021500002_193,2,8.277610000000001,24.33505,9.34141,66.58,47
52,2321,0021500002_199,1,5.2109,24.83887,9.00441,691.41,33
53,2364,0021500002_208,1,6.12645,26.072470000000003,9.11897,623.95,43
54,2437,0021500002_219,2,3.90571,33.482490000000006,9.10276,491.89,73
55,2481,0021500002_244,2,7.4129,27.06571,9.31821,181.01,44
56,2513,0021500002_254,1,5.4164699999999995,24.69925,9.20005,62.37,32
57,2545,0021500002_257,1,4.84874,25.87398,9.12929,32.56,32
58,2592,0021500002_28,2,5.38657,20.838639999999998,9.42305,431.9,47
59,2641,0021500002_30,2,4.68773,32.04286,9.26925,408.41,49
60,2672,0021500002_31,1,5.3138,25.03894,9.3367,397.05,31
61,2708,0021500002_32,1,5.06302,24.652639999999998,9.28613,377.37,36
62,2750,0021500002_33,1,6.42671,25.263270000000002,9.0226,357.42,42
63,2803,0021500002_36,2,15.110529999999999,33.6762,8.728660000000001,333.01,53
64,2849,0021500002_37,2,14.47962,25.84232,9.07456,313.02,46
65,2885,0021500002_53,2,5.44335,26.92509,9.07478,120.7,36
66,2940,0021500002_55,2,5.32954,18.495420000000003,9.25633,108.43,55
67,2990,0021500002_73,2,12.05994,32.51563,8.45463,610.28,50
68,3042,0021500002_84,2,10.37608,27.23273,9.23804,518.47,52
69,3077,0021500002_88,2,5.75758,25.36865,9.912939999999999,478.92,35
70,3118,0021500003_108,2,6.589189999999999,25.76023,9.03375,409.47,41
71,3155,0021500003_11,2,8.14502,23.65183,9.15424,630.2,37
72,3186,0021500003_111,2,4.97661,25.159000000000002,9.92808,364.2,31
73,3217,0021500003_114,1,6.02749,24.61003,9.4828,335.9,31
74,3248,0021500003_117,2,9.71609,26.77412,9.043289999999999,299.17,31
75,3297,0021500003_126,2,9.3079,25.405170000000002,9.05237,201.89,49
76,3345,0021500003_127,2,7.912739999999999,23.48164,9.28765,179.3,48
77,3396,0021500003_128,2,6.02361,22.758329999999997,9.3752,172.29,51
78,3430,0021500003_130,1,5.22204,23.9654,9.035689999999999,151.83,34
79,3474,0021500003_131,2,5.84399,28.783759999999997,9.17804,131.61,44
80,3506,0021500003_14,1,5.6314400000000004,24.727339999999998,9.17576,592.68,32
81,3559,0021500003_142,2,6.24681,26.59325,9.4151,31.92,53
82,3582,0021500003_152,2,6.15034,25.482210000000002,9.30361,624.08,23
83,3610,0021500003_168,1,5.73195,25.6555,10.69449,472.69,28
84,3646,0021500003_17,1,5.612019999999999,24.778679999999998,9.261460000000001,555.65,36
85,3682,0021500003_173,1,5.16335,24.65906,9.0433,427.68,36
86,3736,0021500003_185,2,7.2942100000000005,19.768420000000003,9.137,320.39,54
87,3788,0021500003_194,2,3.5041,19.7277,9.16699,240.7,52
88,3822,0021500003_197,1,4.59897,24.981170000000002,9.17408,204.73,34
89,3854,0021500003_206,1,5.70824,24.24796,9.06385,120.1,32
90,3897,0021500003_21,2,7.4921,28.57167,9.3823,518.53,43
91,3947,0021500003_22,2,7.454439999999999,30.714129999999997,9.042119999999999,502.33,50
92,4014,0021500003_231,2,6.0054,23.52039,9.252469999999999,579.13,67
